Activity_Name,Activity_Instance_ID,Participant_ID,Date,Attended,Minutes_Attended
Surfing 101 Middle School ,3383538,46887178,9/10/2018,Y,360.0
Surfing 101 Middle School ,3383538,46887178,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46887178,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46887178,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46887178,10/15/2018,Y,360.0
Surfing 101 Middle School ,3383538,46887178,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46887178,10/29/2018,Y,240.0
Surfing 101 Middle School ,3383538,46891897,9/10/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891897,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891897,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891897,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891897,10/15/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891897,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891897,10/29/2018,Y,240.0
Surfing 101 Middle School ,3383538,46891989,9/10/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891989,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891989,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891989,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891989,10/15/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891989,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46891989,10/29/2018,Y,240.0
Surfing 101 Middle School ,3383538,46894320,9/10/2018,Y,360.0
Surfing 101 Middle School ,3383538,46894320,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46894320,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46894320,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46894320,10/15/2018,Y,360.0
Surfing 101 Middle School ,3383538,46894320,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46894320,10/29/2018,Y,240.0
Surfing 101 Middle School ,3383538,46897487,9/10/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897487,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897487,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897487,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897487,10/15/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897487,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897487,10/29/2018,Y,240.0
Surfing 101 Middle School ,3383538,46897549,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897549,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897549,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897549,10/15/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897549,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897549,10/29/2018,Y,240.0
Surfing 101 Middle School ,3383538,46897577,9/10/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897577,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897577,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897577,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46897577,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898292,9/10/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898292,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898292,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898292,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898292,10/15/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898292,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898292,10/29/2018,Y,240.0
Surfing 101 Middle School ,3383538,46898869,9/10/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898869,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898869,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898869,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898869,10/15/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898869,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46898869,10/29/2018,Y,240.0
Surfing 101 Middle School ,3383538,46906440,9/10/2018,Y,360.0
Surfing 101 Middle School ,3383538,46906440,9/17/2018,Y,360.0
Surfing 101 Middle School ,3383538,46906440,9/24/2018,Y,360.0
Surfing 101 Middle School ,3383538,46906440,10/1/2018,Y,360.0
Surfing 101 Middle School ,3383538,46906440,10/15/2018,Y,360.0
Surfing 101 Middle School ,3383538,46906440,10/22/2018,Y,360.0
Surfing 101 Middle School ,3383538,46906440,10/29/2018,Y,240.0
Surfing 101,3384580,46843252,8/20/2018,Y,180.0
Surfing 101,3384580,46843252,8/22/2018,Y,180.0
Surfing 101,3384580,46843252,8/24/2018,Y,300.0
Surfing 101,3384580,46843252,8/27/2018,Y,180.0
Surfing 101,3384580,46843252,8/29/2018,Y,180.0
Surfing 101,3384580,46843252,8/31/2018,Y,300.0
Surfing 101,3384580,46843252,9/3/2018,Y,180.0
Surfing 101,3384580,46843252,9/5/2018,Y,180.0
Surfing 101,3384580,46843252,9/7/2018,Y,300.0
Surfing 101,3384580,46843252,9/10/2018,Y,180.0
Surfing 101,3384580,46843252,9/12/2018,Y,180.0
Surfing 101,3384580,46843252,9/17/2018,Y,180.0
Surfing 101,3384580,46843252,9/19/2018,Y,180.0
Surfing 101,3384580,46843252,9/24/2018,Y,180.0
Surfing 101,3384580,46843252,9/26/2018,Y,180.0
Surfing 101,3384580,46843252,9/28/2018,Y,300.0
Surfing 101,3384580,46843252,10/1/2018,Y,180.0
Surfing 101,3384580,46843252,10/3/2018,Y,180.0
Surfing 101,3384580,46843252,10/8/2018,Y,180.0
Surfing 101,3384580,46843252,10/10/2018,Y,180.0
Surfing 101,3384580,46843252,10/15/2018,Y,180.0
Surfing 101,3384580,46843252,10/17/2018,Y,180.0
Surfing 101,3384580,46843252,10/19/2018,Y,300.0
Surfing 101,3384580,46843252,10/22/2018,Y,180.0
Surfing 101,3384580,46843252,10/24/2018,Y,180.0
Surfing 101,3384580,46843252,10/26/2018,Y,300.0
Surfing 101,3384580,46843252,10/29/2018,Y,180.0
Surfing 101,3384580,46843252,10/31/2018,Y,180.0
Surfing 101,3384580,46843252,11/5/2018,Y,180.0
Surfing 101,3384580,46843252,11/7/2018,Y,180.0
Surfing 101,3384580,46843252,11/12/2018,Y,180.0
Surfing 101,3384580,46843252,11/14/2018,Y,180.0
