Contract ID,Agency Name,Program Name,Fiscal Year,Workplan Activity ID,Activity Type,Activity Name,Activity Category,Activity Description,Activity Instance ID,Activity Label,Service Site Id,Service Site Name,Service Site Location,School,Service Site Address,Service Site Zip,Service Site Phone,Start Date,End Date,Days of Week,Time,Lead Staff
123513,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,3835954,Group,Surfing 101 - Virtual Meetings,,,3844271,All Program Partners,B159B1AE-CB46-4B3A-A1FF-45114738BB99,Virtual Zoom Conferences,Virtual/Remote - COVID19,,000 Fulton Street San Francisco,113129,000-000-0000,3/25/2020,4/1/2020,W,2:00 PM-2:45 PM,Andrew Perry
123513,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,3835955,Group,Aloha Friday Watch Parties,,,3844278,Aloha Friday Watch Parties,B159B1AE-CB46-4B3A-A1FF-45114738BB99,Virtual Zoom Conferences,Virtual/Remote - COVID19,,000 Fulton Street San Francisco,113129,000-000-0000,4/3/2020,5/29/2020,F,5:00 PM-6:30 PM,
123513,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,3630903,Group,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,,3793389,Aptos - Cycle #3,B381D369-E194-447B-BE52-63B58F0247B3,Aptos Middle School Surfing 101,Public School,Aptos MS,"105 Aptos Ave, San Francisco, CA ",113133,(415) 469-4520,1/27/2020,3/16/2020,M,2:30 PM-6:15 PM,
123513,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,3630903,Group,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,,3793389,Aptos - Cycle #3,B381D369-E194-447B-BE52-63B58F0247B3,Aptos Middle School Surfing 101,Public School,Aptos MS,"105 Aptos Ave, San Francisco, CA ",113133,(415) 469-4520,1/27/2020,3/16/2020,M,2:30 PM-6:15 PM,
107052,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,3316549,Group,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,,3476979,Aptos Afterschool Cycle #2,B381D369-E194-447B-BE52-63B58F0247B3,Aptos Middle School Surfing 101,Public School,Aptos MS,"105 Aptos Ave, San Francisco, CA ",113133,(415) 469-4520,11/5/2018,1/14/2019,M,2:30 PM-6:15 PM,
107052,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,3316549,Group,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,,3476979,Aptos Afterschool Cycle #2,B381D369-E194-447B-BE52-63B58F0247B3,Aptos Middle School Surfing 101,Public School,Aptos MS,"105 Aptos Ave, San Francisco, CA ",113133,(415) 469-4520,11/5/2018,1/14/2019,M,2:30 PM-6:15 PM,
123513,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,3630903,Group,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,,3675041,Aptos Cycle #1,B381D369-E194-447B-BE52-63B58F0247B3,Aptos Middle School Surfing 101,Public School,Aptos MS,"105 Aptos Ave, San Francisco, CA ",113133,(415) 469-4520,9/9/2019,10/28/2019,M,2:30 PM-6:15 PM,
123513,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,3630903,Group,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,,3675041,Aptos Cycle #1,B381D369-E194-447B-BE52-63B58F0247B3,Aptos Middle School Surfing 101,Public School,Aptos MS,"105 Aptos Ave, San Francisco, CA ",113133,(415) 469-4520,9/9/2019,10/28/2019,M,2:30 PM-6:15 PM,
123513,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,3630903,Group,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,,3774761,Aptos Cycle #2,B381D369-E194-447B-BE52-63B58F0247B3,Aptos Middle School Surfing 101,Public School,Aptos MS,"105 Aptos Ave, San Francisco, CA ",113133,(415) 469-4520,11/4/2019,1/13/2020,M,2:30 PM-6:15 PM,
123513,City Surf Project,City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,3630903,Group,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,,3774761,Aptos Cycle #2,B381D369-E194-447B-BE52-63B58F0247B3,Aptos Middle School Surfing 101,Public School,Aptos MS,"105 Aptos Ave, San Francisco, CA ",113133,(415) 469-4520,11/4/2019,1/13/2020,M,2:30 PM-6:15 PM,
