activity_instance_id,attendance_count,program_name,fiscal_year,activity_name,activity_category,activity_label,service_site_name,school,service_site_address,start_date,end_date,days_of_week,time,total_program_days
3476979,8,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,Aptos Afterschool Cycle #2,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2018-11-05,2019-01-14,M,2:30 PM-6:15 PM,70
3508583,11,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,Aptos Cycle #3,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2019-01-28,2019-03-18,M,2:15 PM-6:15 PM,49
3508595,12,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,Aptos Cycle #4,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2019-04-01,2019-06-03,M,2:30 PM-6:15 PM,63
3383538,10,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,Aptos Surfing 101 Course,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2018-09-10,2018-10-29,M,Mixed-Mixed,49
3474515,13,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Independence HS Surfing 101/ 2018-2019 School Year,Independence High School- Surfing 101,Independence HS,"1350 7th Ave, San Francisco, CA ",2018-08-28,2019-05-21,Tu,12:00 PM-6:00 PM,266
3417045,18,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Leadership Surfing 101,Leadership High School- Surfing 101,Leadership HS Charter," 350 Seneca Ave, San Francisco, CA ",2018-08-29,2019-05-22,"W, F",Mixed-Mixed,266
3384580,37,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2018-08-20,2019-05-29,"M, W, F",1:00 PM-Mixed,282
3621419,10,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,SILT 2019 Backpacking/Camp/Surf Training,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2019-06-08,2019-06-13,"Su, M, Tu, W, Th, Sa",Mixed-Mixed,5
3621418,10,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,SILT SUMMER CAMP SESSION 1: Faces SF,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2019-06-18,2019-06-20,"Tu, W, Th",10:00 AM-5:00 PM,2
3621424,20,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,SILT SUMMER CAMP SESSION 2: Booker T. Washington,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2019-06-25,2019-06-27,"Tu, W, Th",11:00 AM-6:00 PM,2
3421146,41,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,SILT Summer Surf Day Camps,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2018-07-10,2018-08-02,"Tu, W, Th",10:00 AM-6:00 PM,23
3517784,17,City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Week Without Walls (March 2019),Leadership High School- Surfing 101,Leadership HS Charter," 350 Seneca Ave, San Francisco, CA ",2019-03-18,2019-03-22,"M, Tu, W, Th, F",9:00 AM-4:00 PM,4
3475642,14,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,John O'Connell Field Trip 12/15/18,John O'Connell High School Intro to Surfing Field Trips,O'Connell (John) HS,"2355 Folsom St, San Francisco, CA ",2018-12-15,2018-12-15,Sa,9:00 AM-3:30 PM,0
3620656,6,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Mission Surf Club,Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-05-18,2019-05-18,Sa,10:00 AM-4:00 PM,0
3476343,15,City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-11-01,2018-11-01,Th,11:30 AM-3:30 PM,0
