Participant_ID,Activity_Instance_ID,Activity_Attendance
46842888,3440566,1
46842888,3454339,1
46842888,3474149,1
46843252,3384580,80
46843305,3420417,1
46843348,3476343,1
46843349,3476343,1
46843349,3538008,1
46843808,3472807,2
46843808,3620940,1
46843825,3473499,1
46843825,3476373,1
46843828,3476438,1
46843859,3472807,2
46843859,3620940,1
46843869,3474515,1
46843888,3472807,1
46844454,3517784,5
46844856,3499217,1
46845067,3472807,1
46845494,3620940,1
46846077,3476343,1
46846095,3384580,36
46846158,3528219,1
46846606,3472807,1
46846606,3620940,1
46847012,3384580,40
46847012,3440566,1
46847012,3473499,1
46847012,3474149,1
46847012,3476373,1
46847012,3499217,1
46847012,3499320,1
46847012,3499367,1
46847012,3499380,1
46847012,3528219,1
46847012,3535966,1
46847012,3536052,1
46847012,3620656,1
46847012,3621415,1
46847012,3621419,6
46847083,3476343,1
46847639,3527022,1
46848314,3440566,1
46848314,3474149,1
46848314,3527068,1
46848575,3420417,1
46848601,3476343,1
46848601,3527022,1
46848682,3620940,1
46848962,3384580,69
46848962,3440566,1
46848962,3474149,1
46848962,3476373,1
46848962,3499217,1
46848962,3528219,1
46848962,3621415,1
46848962,3621418,3
46848962,3621419,6
46848990,3473499,1
46848990,3476373,1
46849073,3472807,1
46849073,3620940,1
46849096,3527068,1
46849197,3474515,2
46850110,3517784,4
46850177,3476438,1
46850621,3472807,1
46850621,3620940,1
46850784,3527022,1
46850944,3476438,1
46850986,3473499,1
46850986,3476373,1
46851292,3526992,1
46851350,3499380,1
46851350,3527068,1
46851668,3473499,1
46851668,3476373,1
46851696,3527022,1
46851954,3527022,1
46852363,3473499,1
46852363,3476373,1
46852396,3621424,2
46852494,3472807,1
46852831,3528219,1
46852855,3527022,1
46853709,3517784,4
46853895,3476343,1
46854059,3421146,2
46854290,3472807,1
46854290,3620940,1
46854679,3527022,1
46854847,3384580,53
46855204,3384580,76
46855688,3420417,1
46855710,3517784,5
46855793,3472807,2
46855793,3620940,1
46856099,3440566,1
46856099,3474149,1
46856099,3476388,1
46856099,3480978,1
46856121,3417059,9
46856130,3620598,1
46856130,3621415,1
46856130,3621419,6
46856144,3517784,5
46856213,3417059,7
46856222,3475642,1
46856271,3528219,1
46856271,3535966,1
46856278,3417059,3
46856321,3417059,3
46856497,3440566,1
46856497,3474121,1
46856497,3474149,1
46856497,3535966,1
46856497,3538029,1
46856557,3538029,1
46856759,3499367,1
46857181,3384580,77
46857181,3499217,1
46857186,3384580,67
46857421,3417059,10
46857421,3474515,2
46857724,3472807,2
46857724,3620940,1
46857740,3384580,67
46857758,3517784,5
46857834,3421146,2
46857834,3440566,1
46857834,3440661,1
46857834,3454339,1
46857834,3474121,1
46857834,3474149,1
46857834,3480978,1
46857834,3499217,1
46857834,3526992,1
46857834,3528219,1
46857834,3535966,1
46857834,3620656,1
46857834,3621415,1
46857834,3621419,3
46857910,3417045,15
46857910,3517784,4
46858120,3472807,1
46858126,3472807,1
46858126,3620979,1
46858392,3499367,1
46858397,3440566,1
46858397,3474149,1
46858843,3620598,1
46858930,3528219,1
46858962,3440661,1
46858992,3384580,58
46859018,3417059,10
46859030,3420508,1
46859307,3472807,1
46859347,3476343,1
46859410,3420417,1
46859411,3527022,1
46860420,3429906,1
46861070,3476343,1
46861804,3420417,1
46861804,3421146,2
46861804,3440566,1
46861804,3440661,1
46861804,3454339,1
46861804,3473499,1
46861804,3474121,1
46861804,3474149,1
46861804,3476343,1
46861804,3476373,1
46861804,3526992,1
46861804,3527022,1
46861804,3528219,1
46861804,3528332,1
46861804,3528375,1
46861804,3535885,1
46861804,3535966,1
46861804,3536052,1
46861804,3538008,1
46861804,3538029,1
46861804,3620656,1
46861904,3384580,61
46861938,3420508,1
46861947,3476343,1
46862005,3517784,5
46862041,3476343,1
46862331,3440566,1
46862359,3538029,1
46862430,3384580,42
46862518,3440661,1
46862978,3420417,1
46862989,3476343,1
46863022,3384580,66
46863022,3499380,1
46863077,3384580,48
46863147,3384580,66
46863176,3440661,1
46863178,3384580,57
46863178,3440566,1
46863178,3474149,1
46863232,3528332,1
46863487,3384580,70
46863515,3420417,1
46863571,3384580,20
46863571,3473499,1
46863571,3476373,1
46864094,3621415,1
46864094,3621419,3
46864506,3473499,1
46864506,3476373,1
46864547,3472807,1
46864631,3420417,1
46864631,3527022,1
46864770,3417045,28
46864770,3517784,4
46864770,3621415,1
46864770,3621418,3
46864770,3621419,6
46864810,3417059,4
46864830,3538029,1
46864840,3474515,1
46865216,3440566,1
46865216,3499367,1
46865216,3499380,1
46865359,3620598,1
46865367,3429906,1
46865527,3621418,3
46865675,3429906,1
46865681,3620598,1
46866159,3473499,1
46866159,3476373,1
46866189,3517784,4
46866228,3517784,4
46866295,3472807,1
46866297,3475642,1
46866343,3384580,62
46866602,3527022,1
46866869,3440566,1
46866869,3474121,1
46866869,3474149,1
46866869,3535966,1
46866869,3538029,1
46866877,3475642,1
46866889,3474515,13
46867140,3440566,1
46867140,3440661,1
46867140,3474121,1
46867140,3499217,1
46867140,3527022,1
46867140,3528219,1
46867140,3528375,1
46867140,3535885,1
46867140,3621415,1
46867140,3621419,6
46867236,3526992,1
46867481,3527022,1
46867626,3621418,3
46867820,3620598,1
46867820,3620600,1
46867838,3440566,1
46867838,3440661,1
46867838,3474149,1
46867944,3384580,31
46867944,3476388,1
46867952,3440566,1
46867952,3474149,1
