participant_id,activity_instance_id,activity_attendance,fiscal_year,activity_name,activity_category,activity_label,school,start_date,end_date,total_program_days
46842888,3440566,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-09-13,2018-09-13,0
46842888,3454339,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-12-21,2018-12-21,0
46842888,3474149,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-11-08,2018-11-08,0
46843252,3384580,80,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission HS,2018-08-20,2019-05-29,282
46843305,3420417,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Finegold-Shaw),Mission HS,2018-09-27,2018-09-27,0
46843348,3476343,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission HS,2018-11-01,2018-11-01,0
46843349,3476343,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission HS,2018-11-01,2018-11-01,0
46843349,3538008,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Hallinan),Mission HS,2019-05-16,2019-05-16,0
46843825,3473499,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-10-04,2018-10-04,0
46843825,3476373,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field trip (Hillard/Surf Club),Mission HS,2018-10-25,2018-10-25,0
46843869,3474515,1,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Independence HS Surfing 101/ 2018-2019 School Year,Independence HS,2018-08-28,2019-05-21,266
46844454,3517784,5,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Week Without Walls (March 2019),Leadership HS Charter,2019-03-18,2019-03-22,4
46844856,3499217,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Dragonboat),Mission HS,2019-03-21,2019-03-21,0
46846077,3476343,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission HS,2018-11-01,2018-11-01,0
46846095,3384580,36,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission HS,2018-08-20,2019-05-29,282
46846158,3528219,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-04-04,2019-04-04,0
46847012,3384580,40,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission HS,2018-08-20,2019-05-29,282
46847012,3440566,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-09-13,2018-09-13,0
