Program_Name,Fiscal_year,Activity_Name,Activity_category,Activity_Instance_ID,Activity_Label,Service_site_name,School,Service_Site_Address,Start_date,End_date,Days_of_week,Time,Total_program_days
City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,3793389,Aptos - Cycle #3,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2020-01-27,2020-03-16,M,2:30 PM-6:15 PM,49
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,3476979,Aptos Afterschool Cycle #2,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2018-11-05,2019-01-14,M,2:30 PM-6:15 PM,70
City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,3675041,Aptos Cycle #1,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2019-09-09,2019-10-28,M,2:30 PM-6:15 PM,49
City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,3774761,Aptos Cycle #2,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2019-11-04,2020-01-13,M,2:30 PM-6:15 PM,70
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,3508583,Aptos Cycle #3,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2019-01-28,2019-03-18,M,2:15 PM-6:15 PM,49
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,3508595,Aptos Cycle #4,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2019-04-01,2019-06-03,M,2:30 PM-6:15 PM,63
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 Middle School ,Grades K-12 - Afterschool/Extended Day,3383538,Aptos Surfing 101 Course,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2018-09-10,2018-10-29,M,Mixed-Mixed,49
City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3783704,Independence High Cycle #2,Independence High School- Surfing 101,Independence HS,"1350 7th Ave, San Francisco, CA ",2020-01-07,2020-03-10,Tu,1:15 PM-4:00 PM,63
City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3667467,Independence High School,Independence High School- Surfing 101,Independence HS,"1350 7th Ave, San Francisco, CA ",2019-08-27,2019-12-10,Tu,12:00 PM-5:00 PM,105
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3474515,Independence HS Surfing 101/ 2018-2019 School Year,Independence High School- Surfing 101,Independence HS,"1350 7th Ave, San Francisco, CA ",2018-08-28,2019-05-21,Tu,12:00 PM-6:00 PM,266
City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3636795,Leadership H.S. surfing 101,Leadership High School- Surfing 101,Leadership HS Charter," 350 Seneca Ave, San Francisco, CA ",2019-08-28,2019-12-11,W,11:30 AM-4:00 PM,105
City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3783626,Leadership High School - cycle #2,Leadership High School- Surfing 101,Leadership HS Charter," 350 Seneca Ave, San Francisco, CA ",2020-01-15,2020-03-11,W,1:45 PM-2:45 PM,56
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3417045,Leadership Surfing 101,Leadership High School- Surfing 101,Leadership HS Charter," 350 Seneca Ave, San Francisco, CA ",2018-08-29,2019-05-22,"W, F",Mixed-Mixed,266
City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3667557,Mission Surfing 101,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2019-08-19,2020-03-13,"M, W, F",Mixed-Mixed,207
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3384580,Mission Surfing 101 Course,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2018-08-20,2019-05-29,"M, W, F",1:00 PM-Mixed,282
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,3621419,SILT 2019 Backpacking/Camp/Surf Training,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2019-06-08,2019-06-13,"Su, M, Tu, W, Th, Sa",Mixed-Mixed,5
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,3621418,SILT SUMMER CAMP SESSION 1: Faces SF,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2019-06-18,2019-06-20,"Tu, W, Th",10:00 AM-5:00 PM,2
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,3621424,SILT SUMMER CAMP SESSION 2: Booker T. Washington,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2019-06-25,2019-06-27,"Tu, W, Th",11:00 AM-6:00 PM,2
City Surf Project: Surfing 101 Scholastic Program,FY2019-2020,Surfers In Leadership Training (SILT),Grades K-12 - Summer,3631939,SILT SUMMER CSMP SESSION 5: Individual Campers,Aptos Middle School Surfing 101,Aptos MS,"105 Aptos Ave, San Francisco, CA ",2019-07-23,2019-07-25,"Tu, W, Th",10:00 AM-5:00 PM,2
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,3421146,SILT Summer Surf Day Camps,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2018-07-10,2018-08-02,"Tu, W, Th",10:00 AM-6:00 PM,23
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3517784,Week Without Walls (March 2019),Leadership High School- Surfing 101,Leadership HS Charter," 350 Seneca Ave, San Francisco, CA ",2019-03-18,2019-03-22,"M, Tu, W, Th, F",9:00 AM-4:00 PM,4
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3757619,HS Surf Jamboree,Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-10-21,2019-10-21,M,11:00 AM-3:00 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3475642,John O'Connell Field Trip 12/15/18,John O'Connell High School Intro to Surfing Field Trips,O'Connell (John) HS,"2355 Folsom St, San Francisco, CA ",2018-12-15,2018-12-15,Sa,9:00 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3620656,Mission Surf Club,Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-05-18,2019-05-18,Sa,10:00 AM-4:00 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3476343,Surf Field (Fiengold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-11-01,2018-11-01,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3499217,Surf Field Trip (Dragonboat),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-03-21,2019-03-21,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3528332,Surf Field Trip (Feingold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-04-11,2019-04-11,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3527022,Surf Field Trip (Feingold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-03-14,2019-03-14,Th,11:15 AM-3:30 PM,0
